"visit_date";"day";"time";"house_id";"neighbourhood";"visitor";"agent";"review";"building";"conservation";"size";"price";"location";"did_not_like_the_location";"expected_a_better_preserved_property";"bigger_in_photos";"different_from_the_listing";"others"
"2017-12-27";"2017-12-27";"12:30";892,815,605;Perdizes;Maria;Flávio;"4";false;false;false;false;false;false;false;true;false;
"2018-01-03";"1/3/2018";"13:15";892,807,836;Vila Mariana;Katherine;José;"3";false;false;false;false;false;false;false;false;false;o zelador muito inflexível. nos deixou pra fora do prédio por muito tempo. o corretor teve que ligar pro proprietário para ele deixar entrar. grosseiro demais o zelador. espanta os inquilinos.
"2018-01-03";"2018-01-03";"11:15";892,815,815;Jardim Paulista;Michelle;Sueli;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"10:30";892,812,970;Jardim Paulista;Michelle;Sueli;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"14:15";892,803,143;Consolação;Lívia;Juliana;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"15:00";892,815,463;Bela Vista;Lívia;Gisele;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"1/3/2018";"13:30";892,816,168;Jardim Pinheiros;Thania;Wesley;"1";false;false;false;false;false;false;false;false;true;o anúncio não é igual o imóvel
"2018-01-03";"2018-01-03";"9:45";892,814,475;Cerqueira César;Marcelle;Sueli;"5";true;true;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"8:45";892,813,594;Santo Antônio;Marina;Emerson;"3";false;false;false;false;false;false;false;true;false;
"2018-01-03";"2018-01-03";"8:15";892,813,557;Campo Belo;Diego;Pablo;"5";true;true;true;false;true;false;false;false;false;
"2018-01-03";"2018-01-03";"13:45";892,809,834;Consolação;Felipe;Gisele;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"13:45";892,809,834;Consolação;Felipe;Gisele;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"14:15";892,803,143;Consolação;Felipe;Marcos;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"14:15";892,803,143;Consolação;Felipe;Marcos;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"9:15";892,800,500;Nova Campinas;Dayse;Amaro;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"14:15";892,806,236;Centro;Dayse;Marcos;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"11:30";892,810,789;Cambuí;Dayse;Fabiana;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"10:30";892,797,487;Cambuí;Dayse;Fabiana;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"10:00";892,815,182;Vila Mariana;Danilo;Nilton;"5";true;true;true;false;true;false;false;false;false;
"2018-01-03";"2018-01-03";"13:30";892,814,514;Santa Efigênia;Danilo;Leonardo;"5";false;true;false;true;false;false;false;false;false;
"2018-01-03";"2018-01-03";"14:30";892,778,046;Bela Vista;Danilo;Gisele;"3";false;false;false;false;false;false;true;true;false;
"2018-01-03";"2018-01-03";"16:30";892,809,386;Vila Suzana;Allan;Marcio;"4";false;false;false;false;false;false;false;true;false;
"2018-01-03";"2018-01-03";"12:30";892,816,048;Vila Nova Conceição;Bruno;Claudia;"4";false;false;false;false;false;true;false;false;false;
"2018-01-03";"2018-01-03";"12:30";892,816,048;Vila Nova Conceição;Bruno;Claudia;"4";false;false;false;false;false;true;false;false;false;
"2018-01-03";"2018-01-03";"12:00";892,816,078;Vila Suzana;Marcelo;Joni;"3";false;false;false;false;false;false;false;true;false;
"2018-01-03";"2018-01-03";"12:45";892,810,643;Vila Suzana;Marcelo;Marcio;"4";false;false;false;false;false;false;true;false;false;
"2017-12-27";"2017-12-27";"15:30";892,796,454;Vila Olímpia;Laura;Pablo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"1/3/2018";"12:15";892,815,002;Pinheiros;Thais;Luiz;"3";false;false;false;false;false;false;true;true;false;localização ótima mas apartamento com cheiro de velho
"2018-01-03";"1/3/2018";"14:30";892,815,363;Barra Funda;Thais;Silvana;"1";false;false;false;false;false;true;true;false;true;nas fotos não aparecia a realidade.... dizia ser na barra funda e está no bom retiro e o ap apesar de MT boa planta está muito destruido, armários pessimos
"2017-12-27";"2017-12-27";"10:45";892,811,332;Umuarama;Charles;Joscelin;"5";false;false;false;true;false;false;false;false;false;
"2018-01-03";"2018-01-03";"14:15";892,806,236;Centro;Beatriz;Marcos;"5";false;false;false;false;true;false;false;false;false;
"2018-01-03";"2018-01-03";"12:30";892,810,347;Santa Cecília;Francielle;Francisco;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"13:00";892,814,946;Pinheiros;Bruno;Luiz;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"10:45";892,815,534;Pinheiros;Bruno;Tatiana;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"8:45";892,814,725;Pinheiros;Bruno;Sabrina;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"8:00";892,814,475;Cerqueira César;Grazielle;João;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"16:15";892,772,999;Vila Clementino;Adriana;Tania;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-03";"2018-01-03";"15:30";892,811,129;Tatuapé;#VALUE!;Alessandro;"5";true;true;true;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"8:00";892,811,969;Pinheiros;Rayane;Claudia;"5";false;false;false;true;false;false;false;false;false;
"2018-01-04";"1/4/2018";"8:00";892,815,246;Consolação;Rafael;Marcos;"2";false;false;false;false;false;false;false;false;false;apartamento nao tem os 70m que estavam no anuncio
"2018-01-04";"1/4/2018";"9:00";892,816,157;Vila Buarque;Gabriela;Paulo;"4";false;false;false;false;false;false;false;true;false;
"2018-01-04";"1/4/2018";"8:00";892,785,898;Brooklin Paulista;Diego;Cleonice;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"10:00";892,815,858;Santo Antônio;#VALUE!;Carla;"5";false;true;true;false;true;false;false;false;false;
"2018-01-04";"1/4/2018";"10:00";892,797,428;Brás;Anderson;Aires;"2";false;false;false;false;false;false;false;true;false;
"2018-01-04";"1/4/2018";"10:00";892,815,534;Pinheiros;Guilherme;Luiz;"5";true;true;false;false;true;false;false;false;false;
"2018-01-04";"1/4/2018";"10:45";892,815,835;Pinheiros;Tulio;Luiz;"5";true;false;true;false;true;false;false;false;false;
"2018-01-04";"1/4/2018";"11:00";892,815,658;Santa Cecília;Rafael;Paulo;"5";false;false;false;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"9:00";892,816,157;Vila Buarque;Taís;Luiz;"5";true;true;true;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"10:30";892,811,971;Bela Vista;Richelle;Rosangela;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"10:30";892,811,971;Bela Vista;Richelle;Rosangela;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"11:45";892,806,660;Perdizes;Manoel;Maria;"3";false;false;false;false;false;false;true;false;false;
"2018-01-04";"1/4/2018";"11:45";892,813,281;Cambuí;#VALUE!;Fabiana;"5";true;true;true;false;true;false;false;false;false;
"2017-12-28";"12/28/2017";"11:15";892,800,126;Jardim Petrópolis;João;Cleonice;"5";false;false;false;false;true;false;false;false;false;
"2018-01-04";"1/4/2018";"12:30";892,806,732;Jardim Paulista;Richelle;Guilherme;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"12:30";892,806,732;Jardim Paulista;Richelle;Guilherme;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"10:15";892,810,730;Itaim Bibi;Luciana;Marcelo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"10:15";892,810,730;Itaim Bibi;Luciana;Marcelo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"11:00";892,813,519;Bela Vista;Patricia;Marcos;"3";false;false;false;false;false;true;false;false;false;
"2018-01-04";"1/4/2018";"11:45";892,783,221;Bela Vista;Patricia;Francisco;"2";false;false;false;false;false;false;false;false;true;Ventilação insuficiente.
"2018-01-04";"1/4/2018";"12:30";892,813,823;Bela Vista;Patricia;Marcos;"5";false;false;true;false;true;false;false;false;false;Vista, ventilação, utilização do espaço.
"2018-01-04";"1/4/2018";"11:30";892,809,763;Pinheiros;Luciana;Debora;"2";false;false;false;false;false;false;false;true;true;Apto pequeno
"2018-01-04";"1/4/2018";"12:15";892,812,433;Pinheiros;Luciana;Debora;"2";false;false;false;false;false;false;true;false;false;
"2018-01-04";"1/4/2018";"8:00";892,801,728;Vila Mariana;Grazielle;Michel;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"9:45";892,802,388;Bela Vista;Danilo;William;"5";false;true;false;true;false;false;false;false;false;
"2018-01-04";"1/4/2018";"10:15";892,811,971;Bela Vista;Danilo;Paulo;"5";false;false;true;true;false;false;false;false;false;
"2018-01-04";"1/4/2018";"11:30";892,815,496;Consolação;Marcelle;Rosangela;"4";false;false;false;false;false;false;true;false;false;
"2018-01-04";"1/4/2018";"12:45";892,797,901;Casa Verde;Nathalia;Caio;"5";true;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"11:45";892,812,998;Consolação;Michelle;Paulo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"13:30";892,815,455;Vila da Saúde;Pedro;Tania;"4";false;false;false;false;false;false;false;true;false;sem armários nos quartos
"2018-01-04";"1/4/2018";"13:15";892,807,737;Botafogo;Lucas;Araci;"5";true;true;true;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"12:30";892,807,915;Centro;Lucas;Araci;"5";false;true;true;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"10:00";892,794,099;Bela Vista;Katherine;Luiz;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"10:15";892,810,605;Jardim Ampliação;Fernanda;Augusto;"5";true;false;true;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"9:45";892,812,527;Jardim Ampliação;Fernanda;Marcio;"3";false;false;false;false;false;false;true;false;false;
"2018-01-04";"1/4/2018";"11:00";892,815,754;Vila Pompéia;Leonardo;Sergio;"5";true;true;true;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"13:00";892,806,660;Perdizes;Leonardo;Silvana;"3";false;false;false;false;false;false;true;false;false;
"2018-01-04";"1/4/2018";"10:15";892,810,962;Vila Mascote;Luiz;Ivaldo;"5";true;true;true;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"13:45";892,802,884;Botafogo;Lucas;Araci;"5";false;true;true;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"12:30";892,784,984;Bela Vista;Arthur;Raimundo;"4";false;false;false;false;false;false;false;false;false;. shsjansh jsayagaj
"2018-01-04";"1/4/2018";"10:00";892,813,079;Vila Buarque;Gabriela;Regina;"4";false;false;false;false;false;false;false;false;false;Obra no terreno vizinho
"2018-01-04";"1/4/2018";"12:30";892,813,519;Bela Vista;Israel;Marcos;"5";true;true;true;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"11:45";892,812,912;Vila Clementino;Larissa;Tania;"3";false;false;false;false;false;false;true;false;false;
"2018-01-04";"1/4/2018";"12:00";892,813,032;Pinheiros;Rayane;Tatiana;"3";false;false;false;false;false;false;false;true;false;
"2018-01-04";"1/4/2018";"13:30";892,810,424;Cerqueira César;Rayane;Claudia;"4";false;false;false;false;false;false;true;false;false;
"2018-01-04";"1/4/2018";"11:15";892,813,334;Consolação;Rayane;Guilherme;"4";false;false;false;false;false;false;true;false;false;
"2018-01-04";"1/4/2018";"12:30";892,813,914;Vila Buarque;Priscila;Rosangela;"5";true;true;false;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"11:00";892,813,611;Mauá;Roberto;Carla;"5";false;true;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"14:00";892,815,031;Vila Buarque;Rafael;William;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"14:45";892,812,777;Santa Cecília;Rafael;Marcos;"5";false;false;false;false;true;false;false;false;false;
"2018-01-04";"1/4/2018";"8:00";892,783,748;Vila Guarani (z Sul);Danilo;Ivaldo;"5";false;false;false;true;false;false;false;false;false;
"2018-01-04";"1/4/2018";"8:45";892,810,136;Vila Guarani (z Sul);Danilo;Ivaldo;"5";false;false;false;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"15:45";892,784,768;Vila Uberabinha;Danilo;Arthur;"3";false;false;false;false;false;false;true;true;false;
"2018-01-04";"1/4/2018";"16:30";892,783,201;Bela Vista;Patricia;Rosangela;"2";false;false;false;false;false;false;false;false;false;Não gostei do prédio.
"2018-01-04";"1/4/2018";"15:30";892,815,979;Mirandópolis;Leandro;Tania;"5";true;true;true;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"12:15";892,810,174;Pinheiros;Tulio;Luiz;"5";true;true;true;false;true;false;false;false;false;
"2018-01-04";"1/4/2018";"11:30";892,809,121;Pinheiros;Tulio;Luiz;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"9:00";892,815,479;Perdizes;Luiz;Ricardo;"4";false;false;false;false;false;false;false;true;false;
"2018-01-04";"1/4/2018";"15:00";892,805,456;Mirandópolis;Ronaldo;Tania;"3";false;false;false;false;false;false;false;true;false;
"2018-01-04";"1/4/2018";"12:45";892,789,702;Pinheiros;Marco;Clara;"5";true;false;true;false;true;false;false;false;false;
"2018-01-04";"1/4/2018";"14:30";892,806,444;Pinheiros;Marco;Clara;"4";false;false;false;false;false;true;false;false;false;
"2018-01-04";"1/4/2018";"15:15";892,813,829;Pinheiros;Marco;Clara;"5";true;true;true;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"16:00";892,804,555;Pinheiros;Marco;Clara;"5";true;true;true;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"12:00";892,798,856;Pinheiros;Marco;Clara;"5";true;true;true;false;true;false;false;false;false;
"2018-01-04";"1/4/2018";"12:30";892,806,732;Jardim Paulista;Gabriel;Guilherme;"3";false;false;false;false;false;true;true;false;false;
"2018-01-04";"1/4/2018";"11:30";892,815,496;Consolação;Gabriel;Rosangela;"5";true;false;true;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"8:00";892,789,702;Pinheiros;Victor;Sabrina;"3";false;false;false;false;false;false;false;true;false;
"2018-01-04";"1/4/2018";"8:45";892,816,152;Chácara Califórnia;Francimara;Kelly;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"15:15";892,811,828;Vila Uberabinha;Carolina;Arthur;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"8:45";892,810,815;Jardim Paulista;Gabriel;Sueli;"4";false;false;false;false;false;false;true;false;false;
"2018-01-05";"1/5/2018";"10:00";892,815,463;Bela Vista;Mariana;Marcos;"5";true;true;true;true;true;false;false;false;false;
"2018-01-05";"1/5/2018";"8:00";892,815,978;Várzea da Barra Funda;Erika;Maria;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"12:30";892,791,275;Perdizes;Gianfranco;Ricardo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"14:15";892,810,347;Santa Cecília;Gianfranco;Luiz;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"9:15";892,813,833;Consolação;Gabriel;Paulo;"4";false;false;false;false;false;false;true;false;false;
"2018-01-05";"1/5/2018";"9:30";892,815,618;Jardim Paulista;Ana;William;"5";false;true;true;true;true;false;false;false;false;
"2018-01-05";"1/5/2018";"9:30";892,815,618;Jardim Paulista;Ana;William;"5";false;true;true;true;true;false;false;false;false;
"2018-01-05";"1/5/2018";"10:00";892,770,640;Brooklin Paulista;Simone;Abigail;"5";true;false;true;true;true;false;false;false;false;
"2018-01-05";"1/5/2018";"11:00";892,815,618;Jardim Paulista;Felipe;Gisele;"5";false;true;true;true;true;false;false;false;false;
"2018-01-05";"1/5/2018";"11:00";892,815,618;Jardim Paulista;Felipe;Gisele;"5";false;true;true;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"10:15";892,806,113;Vila Nova Conceição;Wellington;Claudia;"4";false;false;false;false;false;true;false;false;false;
"2018-01-04";"1/4/2018";"13:00";892,801,091;Vila Mariana;Victoria;Sandro;"5";false;true;true;false;true;false;false;false;false;
"2018-01-04";"1/4/2018";"8:45";892,815,672;Vila Mariana;Victoria;Sandro;"4";false;false;false;false;false;false;true;false;false;
"2018-01-04";"1/4/2018";"8:00";892,789,901;Vila Mariana;Victoria;Sandro;"4";false;false;false;false;false;true;false;false;false;
"2018-01-04";"1/4/2018";"16:30";892,815,635;Vila Pompéia;Carolina;Luiz;"5";false;true;false;false;true;false;false;false;false;
"2018-01-05";"1/5/2018";"10:30";892,815,967;Jardim Paulista;Andre;Guilherme;"5";false;false;false;false;true;false;false;false;false;
"2018-01-05";"1/5/2018";"10:30";892,813,795;Vila Mascote;Fernanda;Sylvia;"1";false;false;false;false;false;false;true;false;false;
"2018-01-05";"1/5/2018";"10:30";892,813,795;Vila Mascote;Fernanda;Sylvia;"1";false;false;false;false;false;false;true;false;false;
"2018-01-04";"1/4/2018";"14:45";892,812,777;Santa Cecília;Nathalia;Marcos;"1";false;false;false;false;false;false;true;true;false;piso em péssimo estado, soltando em vários pontos do imóvel (áreas grandes sem o piso), armários muito velhos, rangendo, soltando pedaços de madeira. Imóvel extremamente mal conservado.
"2018-01-05";"1/5/2018";"12:00";892,788,993;Moema;Wellington;Jeferson;"4";false;false;false;false;false;false;false;false;false;prédio não tem área de lazer
"2018-01-05";"1/5/2018";"11:45";892,789,038;Bela Vista;Jonas;Luiz;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"9:30";892,810,839;Bela Vista;Vitor;Quézia;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"11:00";892,808,508;Cerqueira César;Vitor;João;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"11:30";892,815,706;Consolação;Felipe;João;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"12:00";892,814,686;Tatuapé;#VALUE!;Jonnatan;"5";true;true;true;true;true;false;false;false;false;
"2018-01-05";"1/5/2018";"12:30";892,815,925;Campos Elíseos;Leandro;Mauro;"4";false;false;false;false;false;false;false;true;true;anúncio indicava churrasqueira que não tinha
"2018-01-05";"1/5/2018";"12:30";892,806,900;Tatuapé;Roney;Kelly;"5";true;true;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"13:45";892,815,566;Vila Nova;Beatriz;Marcos;"5";false;false;true;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"12:00";892,815,980;Jardim Nova Europa;Carlos;Wesley;"5";false;false;false;false;true;false;false;false;false;
"2018-01-05";"1/5/2018";"13:00";892,814,197;Jardim Europa;Matheus;Pablo;"3";false;false;false;false;false;false;false;false;true;entendi pelo anuncio que seria mobiliado
"2018-01-05";"1/5/2018";"11:45";892,789,701;Pinheiros;Priscila;Claudia;"4";false;false;false;false;false;false;true;false;false;
"2018-01-05";"1/5/2018";"12:00";892,815,977;Vila Sao Joao;Cleber;Aline;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"14:00";892,815,533;Bela Vista;Arthur;Luiz;"5";true;true;true;true;true;false;false;false;false;
"2018-01-05";"1/5/2018";"13:45";892,814,987;Chácara Inglesa;Matheus;Tania;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"14:00";892,814,680;Aclimação;Jade;Ana;"5";false;true;true;true;false;false;false;false;false;
"2018-01-05";"1/5/2018";"15:00";892,816,196;Perdizes;Bruno;Ricardo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"15:00";892,816,196;Perdizes;Bruno;Ricardo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-12";"2018-01-12";"12:30";892,815,276;Vila Mariana;Pedro;William;"3";false;false;false;false;false;false;true;false;false;
"2018-01-04";"1/4/2018";"12:30";892,806,732;Jardim Paulista;Pedro;Guilherme;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"15:15";892,787,828;Consolação;Priscila;Gisele;"5";true;true;false;false;true;false;false;false;false;
"2018-01-05";"1/5/2018";"12:00";892,815,980;Jardim Nova Europa;Karen;Wesley;"4";false;false;false;false;false;false;false;false;true;Não tem elevador e armários
"2018-01-05";"1/5/2018";"8:45";892,814,668;Higienópolis;Germana;William;"2";false;false;false;false;false;false;true;true;true;o imóvel disponível não está bem conservado não tendo sido feito nenhum reparo para ser posto em locação. As fotos induzem a idéia de que há mais armários do que na realidade se apresenta.
"2018-01-05";"1/5/2018";"12:15";892,815,246;Consolação;Germana;Regina;"2";false;false;false;false;false;false;true;false;true;Prédio bastante antigo e pouco conservado
"2018-01-05";"1/5/2018";"12:45";892,815,671;Jardim Paulista;Germana;Luiz;"4";false;false;false;false;false;false;true;false;false;
"2018-01-05";"1/5/2018";"15:45";892,787,828;Consolação;Germana;Francisco;"3";false;false;false;false;false;false;false;false;true;Pelas fotos o imóvel parecia ser maior, bem como os móveis da sala estão bem antigos.
"2018-01-04";"1/4/2018";"11:30";892,811,200;Vila Mariana;Sérgio;Michel;"4";false;false;false;false;false;false;false;true;false;
"2018-01-05";"1/5/2018";"11:45";892,789,038;Bela Vista;Felipe;Luiz;"1";false;false;false;false;false;false;true;false;false;
"2018-01-05";"1/5/2018";"11:45";892,789,038;Bela Vista;Felipe;Luiz;"1";false;false;false;false;false;false;true;false;false;
"2018-01-05";"1/5/2018";"12:30";892,812,544;Vila Mariana;Rafael;Ariel;"3";false;false;false;false;false;false;true;false;false;
"2018-01-05";"1/5/2018";"8:30";892,813,319;Sumaré;Marcelo;Luiz;"5";true;true;true;false;true;false;false;false;false;
"2018-01-05";"1/5/2018";"10:15";892,805,172;Vila Pompéia;Marcelo;Sergio;"3";false;false;false;false;false;false;false;true;false;obra ao lado
"2018-01-05";"1/5/2018";"10:45";892,797,098;Perdizes;Marcelo;Luiz;"4";false;false;false;false;false;false;false;true;false;
"2018-01-05";"1/5/2018";"16:30";892,814,045;Sumarezinho;Lorena;Rogerio;"5";false;false;false;false;true;false;false;false;false;
"2018-01-05";"1/5/2018";"11:45";892,789,701;Pinheiros;Lorena;Claudia;"5";false;false;false;true;true;false;false;false;false;
"2018-01-05";"1/5/2018";"15:15";892,814,108;Vila Nova;Fioravante;Amaro;"3";false;false;false;false;false;false;false;false;false;"a garagem é ""de gaveta"", ou seja: uma vaga fica na frente da outra e tem que acordar com o outro proprietário quem sai primeiro para que um nao obstrua o outro, o que causa total falta de privacidade."
"2018-01-05";"1/5/2018";"16:30";892,815,657;Vila Guarani (z Sul);Andre;Noemi;"5";false;false;false;false;true;false;false;false;false;
"2018-01-05";"1/5/2018";"15:00";892,814,306;Liberdade;Andre;José;"2";false;false;false;false;false;false;true;false;false;
"2018-01-05";"1/5/2018";"10:45";892,803,772;Santa Paula;Roberto;Emerson;"1";false;false;false;false;false;false;true;false;false;imóvel um lixo
"2018-01-05";"1/5/2018";"15:45";892,773,585;Perdizes;Ana;Maria;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"14:00";892,809,391;Cerqueira César;Joílson;Guilherme;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"14:15";892,781,928;Vila Olímpia;Rosa;Eduardo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"14:15";892,781,928;Vila Olímpia;Rosa;Eduardo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"9:45";892,813,631;Liberdade;Camila;Aparecido;"5";true;true;true;true;true;false;false;false;false;
"2018-01-05";"1/5/2018";"16:30";892,812,914;Perdizes;Michelle;Maria;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"15:00";892,808,503;Perdizes;Michelle;Maria;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"13:45";892,804,136;Perdizes;Michelle;Ricardo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"10:30";892,811,971;Bela Vista;Bruno;Rosangela;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"11:45";892,815,391;Cerqueira César;Andre;Sueli;"5";false;false;false;false;true;false;false;false;false;
"2018-01-04";"1/4/2018";"14:15";892,803,025;Botafogo;Lucas;Araci;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-04";"1/4/2018";"15:00";892,815,314;Centro;Lucas;Amaro;"2";false;false;false;false;false;false;true;true;false;
"2018-01-05";"1/5/2018";"9:30";892,816,060;Pinheiros;Bruno;Tatiana;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"11:30";892,815,479;Perdizes;Marcella;Maria;"5";true;true;true;false;true;false;false;false;false;
"2018-01-05";"1/5/2018";"12:30";892,795,515;Barra Funda;Gianfranco;Maria;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-06";"1/6/2018";"9:00";892,808,545;Bela Vista;Theo;Raimundo;"4";false;false;false;false;false;false;true;false;false;
"2018-01-05";"1/5/2018";"9:30";892,810,683;Vila Pompéia;Daniel;Sergio;"2";false;false;false;false;false;false;false;true;false;
"2018-01-06";"1/6/2018";"9:00";892,800,455;Jardim Flor da Montanha;Marco;Marcia;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-06";"1/6/2018";"9:30";892,806,936;Jardim Flor da Montanha;Marco;Marcia;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-06";"1/6/2018";"9:00";892,814,935;Vila Olímpia;Renato;Claudia;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-01-05";"1/5/2018";"11:00";892,816,098;Perdizes;Thais;Paulo;"5";false;true;true;true;true;false;false;false;false;não gostei do prédio e não tem sacada
"2018-01-04";"1/4/2018";"10:00";892,815,254;Vila Firmiano Pinto;Deborah;Nilton;"5";false;false;true;true;true;false;false;false;false;
"2018-01-04";"1/4/2018";"10:00";892,815,254;Vila Firmiano Pinto;Deborah;Nilton;"5";false;false;true;true;true;false;false;false;false;
"2018-01-06";"1/6/2018";"9:00";892,788,717;Bom Retiro;Erika;Silvana;"5";false;true;true;true;true;false;false;false;false;
